English Book Title;French Book Title;French 19th-Century Editions;ARTFL-FRANTEXT link;Year FirstEd;Series1;Series2;Series3;Places;Lat Long;Date Begin;Date End;Genre;# of Pages
The Chouans;Les Chouans, 1829;1829;http://artflx.uchicago.edu/cgi-bin/philologic/navigate.pl?frantext0911.1882;1829;Études de mœurs;Scènes de la vie militaire;;;;;;;
Farewell;Adieu;1830;http://artflx.uchicago.edu/cgi-bin/philologic/navigate.pl?frantext0911.1906;1830;Études philosophiques;;;;;;;;
The Hated Son;L'Enfant maudit;1831;http://artflx.uchicago.edu/cgi-bin/philologic/navigate.pl?frantext0911.1913;1831;Études philosophiques;;;;;;;;
The Exiles;Les Proscrits;1831;http://artflx.uchicago.edu/cgi-bin/philologic/navigate.pl?frantext0911.1925;1831;Études philosophiques;;;;;;;;
Sarrasine;Sarrasine;1831;http://artflx.uchicago.edu/cgi-bin/philologic/navigate.pl?frantext0911.1861;1831;Études de mœurs;Scènes de la vie parisienne;;;;;;;
The Vicar of Tours;Le Curé de Tours;1832;http://artflx.uchicago.edu/cgi-bin/philologic/navigate.pl?frantext0911.1801;1832;Études de mœurs;Scènes de la vie de province;Les célibataires;;;;;;
Eugenie Grandet;Eugénie Grandet;1833;http://artflx.uchicago.edu/cgi-bin/philologic/navigate.pl?frantext0911.1828;1833;Études de mœurs;Scènes de la vie de province;;;;;;;
The Country Doctor;Le Médecin de campagne;1833;http://artflx.uchicago.edu/cgi-bin/philologic/navigate.pl?frantext0911.1920;1833;Études de mœurs;Scènes de la vie de campagne;;;;;;;
The Thirteen;Ferragus (Les Treize);1834;http://artflx.uchicago.edu/cgi-bin/philologic/navigate.pl?frantext0911.1829; 1834;Études de mœurs;Scènes de la vie parisienne;Histoire des Treize;;;;;;
Colonel Chabert;Le Colonel Chabert;1835;http://artflx.uchicago.edu/cgi-bin/philologic/navigate.pl?frantext0911.1857;1835;Études de mœurs;Scènes de la vie privée;;;;;;;
Father Goriot;Le Père Goriot;1835;http://artflx.uchicago.edu/cgi-bin/philologic/navigate.pl?frantext0911.1835;1835;Études de mœurs;Scènes de la vie privée;;;;;;;
Melmoth Reconciled;Melmoth réconcilié;1835;http://artflx.uchicago.edu/cgi-bin/philologic/navigate.pl?frantext0911.1927;1835;Études philosophiques;;;;;;;;
The Commission In Lunacy;L'Interdiction;1836;http://artflx.uchicago.edu/cgi-bin/philologic/navigate.pl?frantext0911.1854;1836;Études de mœurs;Scènes de la vie privée;;;;;;;
The Atheist's Mass;La Messe de l'athée;1836;http://artflx.uchicago.edu/cgi-bin/philologic/navigate.pl?frantext0911.1856;1836;Études de mœurs;Scènes de la vie privée;;;;;;;
The Old Maid;La Vieille Fille;1836;http://artflx.uchicago.edu/cgi-bin/philologic/navigate.pl?frantext0911.1859;1836;Études de mœurs;Scènes de la vie de province;Les rivalités;;;;;;
The Lily of the Valley;Le Lys dans la vallée;1836;http://artflx.uchicago.edu/cgi-bin/philologic/navigate.pl?frantext0911.1858;1836;Études de mœurs;Scènes de la vie de campagne;;;;;;;
Facino Cane;Facino Cane;1837;http://artflx.uchicago.edu/cgi-bin/philologic/navigate.pl?frantext0911.1852;1837;Études de mœurs;Scènes de la vie parisienne;;;;;;;
Gambara;Gambara;1837;http://artflx.uchicago.edu/cgi-bin/philologic/navigate.pl?frantext0911.1909;1837;Études philosophiques;;;;;;;;
The Muse of the Department;La Muse du département;1837;http://artflx.uchicago.edu/cgi-bin/philologic/navigate.pl?frantext0911.1804;1837;Études de mœurs;Scènes de la vie de province;Les parisiens en province;;;;;;
Lost Illusions;Les Deux poètes;1837;http://artflx.uchicago.edu/cgi-bin/philologic/navigate.pl?frantext0911.1833;1837;Études de mœurs;Scènes de la vie de province;Illusions perdues;;;;;;
Massimilla Doni;Massimilla Doni;1837;http://artflx.uchicago.edu/cgi-bin/philologic/getobject.pl?c.1926:1.frantext0911;1837;Études philosophiques;;;;;;;;
The Firm of Nucingen;La Maison Nucingen;1838;;1838;Études de mœurs;Scènes de la vie parisienne;;;;;;;
Beatrix;Béatrix;1839;;1839;Études de mœurs;Scènes de la vie privée;;;;;;Roman réaliste;
The Collection of Antiquities;Le Cabinet des Antiques;1839;;1839;Études de mœurs;Scènes de la vie de province;Les rivalités;;;;;;
Secrets of a Princess;Les Secrets de la princesse de Cadignan;1839;;1839;Études de mœurs;Scènes de la vie parisienne;;;;1833;;;
Pierre Grassou;Pierre Grassou;1839;;1839;Études de mœurs;Scènes de la vie parisienne;;;;;;;
Lost Illusions;Un grand homme de province à Paris;1839;;1839;Études de mœurs;Scènes de la vie de province;Illusions perdues;;;;;;
Pierrette;Pierrette;1840;;1840;Études de mœurs;Scènes de la vie de province;Les célibataires;;;;;;
The Village Parson;Le Curé de village;1841;;1841;Études de mœurs;Scènes de la vie de campagne;;;;;;;
A Bachelor's Establishment;La Rabouilleuse;1842;;1842;Études de mœurs;Scènes de la vie de province;;;;;;;
Ursule Mirouet;Ursule Mirouët;1842;;1842;Études de mœurs;Scènes de la vie de province;;;;;;;
Lost Illusions;Ève et David;1843;;1843;Études de mœurs;Scènes de la vie de province;Illusions perdues;;;;;;
Modeste Mignon;Modeste Mignon;1844;;1844;Études de mœurs;Scènes de la vie privée;;;;;;;
An Episode Under the Terror;Un épisode sous la Terreur;1845;;1845;Études de mœurs;Scènes de la vie politique;;;;;;;
Gaudissart II;Gaudissart II;1846;;1846;Études de mœurs;Scènes de la vie parisienne;;;;;;;
Cousin Betty;La Cousine Bette;1846;;1846;Études de mœurs;Scènes de la vie parisienne;Les parents pauvres;;;;;;
Cousin Pons;Le Cousin Pons;1847;;1847;Études de mœurs;Scènes de la vie parisienne;Les parents pauvres;;;;;;
The Seamy Side of History;L'Envers de l'histoire contemporaine;1848;;1848;Études de mœurs;Scènes de la vie parisienne;;;;;;;
Master Cornelius;Maître Cornélius; 1832, 1836, 1846 (Furne);;1832;Études philosophiques;;;;;;;;
The Girl with the Golden Eyes;La Fille aux yeux d'or; 1835;; 1835;Études de mœurs;Scènes de la vie parisienne;Histoire des Treize;;;;;;
Scenes From A Courtesan's Life;À combien l’amour revient aux vieillards; 1838, (Werdet), 1844-1846, (Furne);;1843;Études de mœurs;Scènes de la vie parisienne;Splendeurs et misères des courtisanes;;;;;;
Scenes From A Courtesan's Life;Comment aiment les filles ou Esther heureuse; 1838, (Werdet), 1844-1846, (Furne);;1838;Études de mœurs;Scènes de la vie parisienne;Splendeurs et misères des courtisanes;;;;;;
Scenes From A Courtesan's Life;La Dernière Incarnation de Vautrin; 1838, (Werdet), 1844-1846, (Furne);;1847;Études de mœurs;Scènes de la vie parisienne;Splendeurs et misères des courtisanes;;;;;;
Scenes From A Courtesan's Life;Où mènent les mauvais chemins; 1838, (Werdet), 1844-1846, (Furne);;1846;Études de mœurs;Scènes de la vie parisienne;Splendeurs et misères des courtisanes;;;;;;
The Member for Arcis;Le Député d'Arcis (inachevé); terminé et publié en 1854 par Charles Rabou.;;1854;Études de mœurs;Scènes de la vie politique;;;;;;;
A Second Home;Une double famille;1830, (1re éd.), 1842 (Furne);;1830;Études de mœurs;Scènes de la vie privée;;;;;;;
Domestic Peace;La Paix du ménage;1830, (1re éd.), 1842, (5e éd. Furne);;1830;Études de mœurs;Scènes de la vie privée;;;;;;;
Gobseck;Gobseck;1830, (1re édition), 1842 (Furne);;1830;Études de mœurs;Scènes de la vie privée;;;;;;;
El Verdugo;El Verdugo;1830, (Furne), 1831, (Gosselin);http://artflx.uchicago.edu/cgi-bin/philologic/navigate.pl?frantext0911.1907;1831;Études philosophiques;;;;;;;;
A Passion in the Desert;Une passion dans le désert;1830, (La Revue de Paris), 1837, (Delloye et Lecou );;1830;Études de mœurs;Scènes de la vie militaire;;;;;;Nouvelle réaliste;
The Ball at Sceaux;Le Bal de Sceaux;1830, (Mame et Delaunay-Vallée), 1842 (Furne);;1830;Études de mœurs;Scènes de la vie privée;;;;;;;
The Purse;La Bourse;1830, (Mame-Delaunay), 1835, (Béchet), 1839, (Charpentier), 1842 (Furne);;1830;Études de mœurs;Scènes de la vie privée;;;;;;;
At the Sign of the Cat and Racket;La Maison du chat-qui-pelote;1830, (Mame-Delaunay), 1839, (Charpentier), 1842 (Furne);;1830;Études de mœurs;Scènes de la vie privée;;;;;;;
The Magic Skin;La Peau de chagrin;1830, 1834, 1837, Furne : 1846;;1830;Études philosophiques;;;;;;;;
The Red Inn;L'Auberge rouge;1831 (La Revue de Paris), 1831 (Gosselin);;1831;Études philosophiques;;1799;;;;;;
A Study of Woman;Étude de femme;1831, (1re éd. Gosselin, 1842, (4e éd.Furne);;1831;Études de mœurs;Scènes de la vie privée;;;;;;;
Jesus Christ in Flanders;Jésus-Christ en Flandre;1831, (1re éd. Gosselin), 1836 (Werdet), 1842, (4e éd.Furne);;1831;Études philosophiques;;;;;;;;
The Conscript;Le Réquisitionnaire;1831, (La Revue de Paris), 1832, (Gosselin), 1835, (Werdet), 1846, (Furne), 1847, (Le Constitutionnel);;1832;Études philosophiques;;;;;;;;
The Elixir of Life;L'Élixir de longue vie;1831, 1834, 1846;;1846;Études philosophiques;;;;;;;;
The Unknown Work of Art;Le Chef-d'œuvre inconnu;1831, 1837, (Furne : 1846);;1831;Études philosophiques;;;;;;;;
Louis Lambert;Louis Lambert;1832 (Gosselin), 1836 (Werdet), 1845 (Furne);;1832;Études philosophiques;;;;;;;;
Madame Firmiani;Madame Firmiani;1832, (1re éd. Gosselin), 1835, (éd Béchet), 1839, (Charpentier) 1842, (Furne);;1832;Études de mœurs;Scènes de la vie privée;;;;;;;
La Grenadiere;La Grenadière;1832, (La Revue de Paris), 1842, (1re éd. Furne);;1832;Études de mœurs;Scènes de la vie privée;;Saint-Cyr-sur-Loire;;;;Nouvelle réaliste;
La Grande Breteche;La Grande Bretèche;1832, 1837, 1845;;1832;Études de mœurs;Scènes de la vie privée;;;;;;;
The Deserted Woman;La Femme abandonnée;1833, (1re éd. Béchet);;1833;Études de mœurs;Scènes de la vie privée;;;;;;;
The Maranas;Les Marana;1833, (La Revue de Paris) 1834, (Béchet), 1846 (Furne);;1834;Études philosophiques;;;;;;;;
The Message;Le Message;1833, (Mame-Delaunay).;;1833;Études de mœurs;Scènes de la vie privée;;;;;;;
Gaudissart The Great;L'Illustre Gaudissart;1833, 1843;;1833;Études de mœurs;Scènes de la vie de province;Les parisiens en province;;;;;;
