Name	Appears in	Start Page	End Page	AFTFL Refs #	ARTFL linlk	Dates Appears in the Comedy
Abramko	Cousin Pons	486	489			1844
Adèle	Pierrette::					1824-27
Adèle	Scenes from a Courtesan's Life::					1829
Adolphe	Gaudissart II::					
Adolphus	The Firm of Nucingen	24	30		http://artflx.uchicago.edu/cgi-bin/philologic/showrest_?conc.6.1.41244.0.7.frantext0911.1	
Agathe 	An Episode Under the Terror::					Terror
Aiglemont, Abel D'	A Woman of Thirty::					
Aiglemont, Charles D'	A Woman of Thirty::					
Aiglemont, Général, Marquis Victor D'	At the Sign of the Cat and Racket::The Firm of Nucingen::A Woman of Thirty::					
Aiglemont, Générale, Marquise Julie D'	A Woman of Thirty::					
Aiglemont, Gustave D'	A Woman of Thirty::					
Aiglemont, Helene D'	A Woman of Thirty::					
Aiglemont, Moina D'	A Woman of Thirty::					
Ajuda-Pinto, Marquis Miguel D'	Beatrix::					
Ajuda-Pinto, Marquise Berthe D'	Beatrix::					
Ajuda-Pinto, Marquise Josephine D'	Scenes from a Courtesan's Life::					
Al-Sartchild	Cousin Pons::					
Alain, Frederic	The Seamy Side of History::					1816-1825
Albertine	Lost Illusions	119	146		http://artflx.uchicago.edu/cgi-bin/philologic/showrest_?conc.6.1.41570.0.7.frantext0911.1	1821-1824
Albon, Marquis D'	Farewell::					
Albrizzi, Comtesse	Massimilla Doni::					1820
Aldrigger, Isaure D'	The Firm of Nucingen::					
Aldrigger, Jean-Baptiste, Baron D'	 The Firm of Nucingen::					
Aldrigger, Malvina D'	The Firm of Nucingen::					
Aldrigger, Theodora-Marguerite-Wilhelmine, Baronne D'	The Firm of Nucingen::					
Aline	The Country Parson::					1820
Allegrain, Christophe-Gabriel	Sarrasine::					
Alphonse	Eugenie Grandet::					
Althor, Francisque	Modeste Mignon::					
Althor, Jacob	Modeste Mignon::					
Amanda	A Man of Business::					
Amaury, Madame	Modeste Mignon::					
Ambermesnil, Comtesse De L'	Father Goriot::					
Amedee	The Lily of the Valley::					
Anchise, Pere	A Prince of Bohemia::					
Angard	Cousin Betty::					
Angelique, Sister	Letters of Two Brides::					
Anicette	The Member For Arcis::					
Annette	Eugenie Grandet::					
Annette	The Peasantry::					
Anselme	The Middle Classes::					
Antoine	The Government Clerks::					
Antoine	Beatrix::					
Antonia	see Chocardelle, Mlle					
Aquilina	The Magic Skin::					
Arcos, Comte D'	The Maranas::					
Argaiolo, Duc D'	Albert Savarus::					
Argaiolo, Duchesse D'	Albert Savarus::					
Arrachelaine	Scenes from a Courtesan's Life::					
Arthez, Daniel D'	A Distinguished Provincial at Paris::Letters of Two Brides::The Member for Arcis::The Secrets of a Princess::					
Asie	Scenes from a Courtesan's Life::					
Athalie	The Muse of the Department::					
Aubrion, Comte D'	The Firm of Nucingen::					
Aubrion, Marquis D'	Eugenie Grandet::					
Aubrion, Marquise D'	Eugenie Grandet::					
Aubrion, Mathilde D'	Eugenie Grandet::					
Auffray	Pierrette::					
Auffray	Pierrette::					
Auffray, Madame	Pierrette::					
Auffray, Madame	Pierrette::					
Auguste	The Seamy Side of History::					
Auguste	The Thirteen::					
Auguste	Scenes from a Courtesan's Life::					
Auguste, Madame	Scenes from a Courtesan's Life::					
Augustin	A Start in Life::					
Aurelie	Beatrix::					
Aurelie, La Petite	Beatrix::					
Auvergnat, L'	Scenes from a Courtesan's Life::					
Babylas	Albert Savarus::					
Baptiste	Scenes from a Courtesan's Life::					
Barbanchu	The Middle Classes::					
Barbanti, The	The Vendetta::					
Barbet	A Distinguished Provincial at Paris::A Man of Business::The Seamy Side of History::The Middle Classes::					
Barbette	Les Chouans::					
Barchou De Penhoen, Auguste-Theodore-Hilaire	Louis Lambert::					
Bargeton, De	Lost Illusions::					
Bargeton, Madame De	See That Name::					
Barillaud	The Seamy Side of History::					
Barimore, Lady	Another Study of Woman::					
Barker, William	Scenes from a Courtesan's Life::					
Barnheim	Beatrix::					
Barniol	The Middle Classes::					
Barniol, Madame	The Middle Classes::					
Barry, John	Modeste Mignon::					
Bartas, Adrien De	Lost Illusions::					
Bartas, Madame Josephine De	Lost Illusions::					
Bastienne	Lost Illusions::					
Batailles, The	The Government Clerks::					
Baudenord, Godefroid De	The Firm of Nucingen::					
Baudenord, Madame De	The Firm of Nucingen::					
Baudoyer	The Government Clerks::					
Baudoyer, Isidore	Cousin Pons::					
Baudoyer, Madame	The Government Clerks::					
Baudoyer, Madame	The Government Clerks::					
Baudoyer, Mademoiselle	The Government Clerks::					
Baudrand	Cousin Pons::					
Baudry, Planat De	The Ball at Sceaux::					
Bauvan, Comte De	The Chouans::					
Bauvan, Comte Octave De	Scenes from a Courtesan's life::					
Bauvan, Comte						
Bauvan, Comtesse De	Honorine::					
Bauvan, Comtesse De	A Bachelor's Establishment::					
Bauvan, Comtesse Honorine De	Honorine::					
Beaudenord, Madame De	The Firm of Nucingen::					
Beaumesnil, Mademoiselle	The Middle Classes::Scenes from a Courtesan's Life::A Second Home::					
Beaupied	See That Name::					
Beaupre, Fanny	Scenes from a Courtesan's Life::					
Beauseant, Marquis And Comte De	An Episode under the Terror::					
Beauseant, Marquise De	The Deserted Woman::					
Beauseant, Vicomte De	Father Goriot::The Deserted Woman::					
Beauseant, Vicomtesse De	Father Goriot::The Deserted Woman::Albert Savarus::					
Beaussier	A Bachelor's Establishment::					
Beaussier	A Bachelor's Establishment::					
Beauvisage	The Gondreville Mystery::The Member for Arcis::					
Beauvisage	Letters of Two Brides::					
Beauvisage, Cecile-Renee	The Member for Arcis::					
Beauvisage, Madame	The Member for Arcis::					
Beauvisage, Madame	The Member for Arcis::					
Beauvisage, Phileas	Cousin Betty::The Member for Arcis::					
Beauvoir, Charles-Félix-Theodore, Chevalier De	The Muse of the Department::					
Becaniere, La	See That Name::					
Becker, Edme	The Commission in Lunacy::					
Bedeau	A Start in Life::					
Bega	The Muse of the Department::					
Begrand, La	A Bachelor's Establishment::					
Bellefeuille, Mademoiselle De						
Bellejambe	A Start in Life::					
Belor, Mademoiselle De	A Marriage Settlement::					
Bemboni, Monsignor	Letters of Two Brides::					
Benard, Pieri	Cesar Birotteau::					
Benassis, Doctor	The Country Doctor::					
Benedetto	The Member for Arcis::					
Berenice	Lost Illusions::A Distinguished Provincial at Paris::					
Bergerin	Eugenie Grandet::					
Bergmann						
Bergmann,  Madame	Albert Savarus::					
Bernard	See Baron de Bourlac::					
Bernus	Beatrix::					
Berquet	Albert Savarus::					
Berthier	Cousin Betty::Cousin Pons::					
Berthier, Alexandre	The Gondreville Mystery::					
Berthier, Madame	The Muse of the Department::Cousin Pons::					
Berton	The Member for Arcis::					
Berton, Doctor	The Seamy Side of History::					
Berton, Mademoiselle	The Member for Arcis::					
Bethune, Prince De	The Unconscious Humorists::					
Beunier & Co	The Unconscious Humorists::					
Bianchi	The Maranas::					
Bianchon, Doctor	The Commission in Lunacy::					
Bianchon, Horace						
Bibi-Lupin	Father Goriot::Scenes from a Courtesan's Life::					
Bidault	The Government Clerks::					
Bidault, Monsieur And Madame	The Government Clerks::					
Biddin	Scenes from a Courtesan's Life::					
Biffe, La	Scenes from a Courtesan's Life::					
Biffon, Le						
Bigorneau	Gaudissart II::					
Bijou, Olympe	See Grenouville, Madame::					
Binet	The Seamy Side of History::					
Birotteau, Abbe Francois	The Vicar of Tours::					
Birotteau, Cesar	At the Sign of the Cat and Racket::					
Birotteau, Cesarine	See Popinot, Madame Anselme::					
Birotteau, Jacques	Cesar Birotteau::					
Birotteau, Jean	Cesar Birotteau::					
Birotteau, Madame	Cesar Birotteau::					
Bixiou	A Bachelor's Establishment::					
Bixiou	A Bachelor's Establishment::					
Bixiou, Jean-Jacques	Cousin Pons::					
Blamont-Chauvry, Princesse De	The Lily of the Valley::The Thirteen::					
Blandureaus, The	Jealousies of a Country Town::					
Blondet	Beatrix::					
Blondet, Emile	The Peasantry::					
Blondet, Joseph	Jealousies of a Country Town::					
Blondet, Madame Joseph	Jealousies of a Country Town::					
Blondet, Madame	Jealousies of a Country Town::					
Blondet, Virginie	The Peasantry::					
Bluteau, Pierre	The Country Doctor::					
Bocquillon	The Thirteen::					
Bogseck, Madame Van	Scenes from a Courtesan's Life::					
Boirouge	The Muse of the Department::					
Boirouge, Gatien	The Muse of the Department::					
Boirouge, Madame	The Muse of the Department::					
Bois-Levant	The Government Clerks::					
Boisfranc, De	See Dubut::					
Boisfranc, Dubut De	The Seamy Side of History::					
Boisfrelon, Dubut De	The Seamy Side of History::					
Boislaurier, Dubut De	The Seamy Side of History::					
Boleslas	The Imaginary Mistress::					
Bonamy, Ida	A Man of Business::					
Bonaparte, Lucien	The Vendetta::					
Bonaparte, Napoleon	A Woman of Thirty::					
Bonfalot, Or Bonvalot, Madame	A Prince of Bohemia::					
Bonfons, Cruchot De	Eugenie Grandet::					
Bonfons, Eugenie Cruchot De	Eugenie Grandet::					
Bongrand	Ursule Mirouet::					
Bongrand, Eugène	Ursule Mirouet::					
Bonnac	The Peasantry::					
Bonnebault	The Peasantry::					
Bonnebault, Mere	The Peasantry::					
Bonnet	The Country Parson::					
Bonnet, Abbe	The Country Parson::					
Bonnet, Germain	Modest Mignon::					
Bontems	A Second Home::					
Bontems, Angelique	See Granville, Madame de::					
Bontems, Madame	A Second Home::					
Borain, Mademoiselle	Pierrette::					
Bordevin, Madame	Cousin Pons::					
Bordin	The Gondreville Mystery::					
Bordin, Jerome-Sebastien	A Start in Life::					
Born, Comte De	Gobseck::					
Borniche	A Bachelor's Establishment::					
Borniche, Adolphine	A Bachelor's Establishment::					
Borniche, Baruch	A Bachelor's Establishment::					
Borniche, Monsieur And Madame	A Bachelor's Establishment::					
Bosquier, Du, Or Croisier, Du, Or Bourguier, Du	The Middle Classes::					
Bosquier, Madame Du	Jealousies of a Country Town::					
Boucard	Colonel Chabert::					
Boucher	Albert Savarus::					
Boucher, Alfred	Albert Savarus::					
Bouffe, Marie	A Distinguished Provincial at Paris::					
Bougival, La	See Cabirolle, Madame::					
Bougniol, Mesdemoiselles	Beatrix::					
Bourbonne, De	Madame Firmiani::The Vicar of Tours::					
Bourdet, Benjamin	A Bachelor's Establishment::					
Bourgeat	The Atheist's Mass::					
Bourget	The Seamy Side of History::					
Bourgneufs, The	Madame Firmiani::					
Bourgnier, Du	See Bousquier, Du::					
Bourignard, Gratien-Henri-Victor-Jean-Joseph	The Thirteen::					
Bourlac, Bernard-Jean-Baptiste-Macloud, Baron De	The Peasantry::					
Bournier	The Peasantry::					
Boutin	Colonel Chabert::					
Bouvard, Doctor	Scenes from a Courtesan's Life::					
Bouyonnet	Cousin Pons::					
Brambourg, Comte De	A Bachelor's Establishment::The Unconscious Humorists::					
Brandon, Lady Marie-Augusta	La Grenadiere::					
Braschon	Cesar Birotteau::Scenes from a Courtesan's Life::					
Braulard	Cousin Pons::					
Brazier	A Bachelor's Establishment::					
Brazier, Flore	See Bridau, Madame Philippe::					
Breautey, Comtesse De	Pierrette::					
Brebian, Alexandre De	Lost Illusions::					
Brebian, Charlotte De	Lost Illusions::					
Breintmayer	The Gondreville Mystery::					
Brezacs, The	The Country Parson::The Government Clerks::					
Bridau	A Bachelor's Establishment::					
Bridau, Agathe Rouget, Madame	A Bachelor's Establishment::					
Bridau, Flore Brazier, Madame Philippe	A Bachelor's Establishment::					
Bridau, Joseph	The Member for Arcis::					
Bridau, Madame Joseph	A Bachelor's Establishment::					
Bridau, Philippe	A Bachelor's Establishment::Scenes from a Courtesan's Life::					
Brigaut, Jacques	Pierrette::					
Brigaut, Major	Pierrette::The Chouans::					
Brigitte	See Cottin, Madame::					
Brigitte	Jealousies of a Country Town::					
Brignolet	A Start in Life::					
Brisetout, Heloise	The Middle Classes::					
Brisset	The Magic Skin::					
Brochon	A Start in Life::					
Brossard, Camille Du	Lost Illusions::					
Brossard, Madame	Lost Illusions::					
Brossette, Abbe	Beatrix::					
Brouet, Joseph	The Chouans::					
Brousson, Doctor	The Red Inn::					
Bruce, Gabriel	The Seamy Side of History::					
Bruel, Claudine Chaffaroux, Madame Du						
Bruel, Du	A Bachelor's Establishment::					
Bruel, Jean-Francois Du	A Distinguished Provincial at Paris::A Daughter of Eve::					
Bruel, Madame Du	A Prince of Bohemia::					
Brunet	The Peasantry::					
Brunner, Frederic	Cousin Pons::					
Brunner, Gedeon	Cousin Pons::					
Brunner, Madame	Cousin Pons::					
Brunner, Madame	Cousin Pons::					
Bruno						
Brutus	The Chouans::					
Buneaud, Madame	Father Goriot::					
Butifer	The Country Doctor::					
Butscha, Jean	Modeste Mignon::					
Cabirolle	Ursule Mirouet::					
Cabirolle	Ursule Mirouet::					
Cabirolle, Agathe-Florentine	A Start in Life::Lost Illusions::A Distinguished Provincial at Paris::A Bachelor's Establishment::					
Cabirolle, Madame	A Start in Life::A Bachelor's Establishment::					
Cabirolle, Madame	Ursule Mirouet::					
Cabot, Armand-Hippolyte	The Unconscious Humorists::					
Cabot, Marie-Anne	The Seamy Side of History::					
Cachan	Lost Illusions::Scenes from a Courtesan's Life::					
Cadenet	The Middle Classes::					
Cadignan, Prince And Princesse De	See Maufrigneuse, Duc and Duchesse de::					
Cadignan, Prince De	Modeste Mignon::					
Cadine, Jenny	The Member for Arcis::					
Cadot, Mademoiselle	Jealousies of a Country Town::					
Calvi, Theodore	Scenes from a Courtesan's Life::					
Cambon	The Country Doctor::					
Cambremer, Jacques	A Seaside Tragedy::					
Cambremer, Joseph	A Seaside Tragedy::					
Cambremer, Madame	A Seaside Tragedy::					
