Region	Type of Place	Description	Discourse	Character(s) Involved	Date	Types Involved	Book	Roman Numerals	Pages		see Also	Date	Types Involved	Book Title	Book	Roman Numerals	Pages		Character Names	Place Raw	Quartier	Lat Long	WikiURL	ImageURL
Outer Left-Bank Faubourgs	Residence	Water-carrier lives in the Saint-Jacques quarter	Fact	Water-carrier			MA 	VII	89	2				La messe de l'athée	MA 	VII	89	2		Saint-Jacques quarter	Saint-Jacques	47° 11_ 34_ N 1° 31_ 49_ W 		
Outer Left-Bank Faubourgs	Quarter	Mme Gaudin could purchase the whole Saint-Jacques quarter	Fact	Mme Gaudin			PC 	XXVII	211	 				La peau de chagrin	PC 	XXVII	211	 	Mme Gaudin	Saint-Jacques quarter	Saint-Jacques	47° 11_ 34_ N 1° 31_ 49_ W 		
Outer Left-Bank Faubourgs	Residence	Pheffion lives in the Saint-Jacques quarter	Fact	Phéllion			PB 	XX	35	 				Les petits bourgeois	PB 	XX	35	 	Phéllion	Saint-Jacques quarter	Saint-Jacques	47° 11_ 34_ N 1° 31_ 49_ W 		
Outer Left-Bank Faubourgs	Quarter	Barniol is held in estéem in the Saint-Jacques quarter	Fact	Barniol			PB 	XX	38	 				Les petits bourgeois	PB 	XX	38	 	Barniol	Saint-Jacques quarter	Saint-Jacques	47° 11_ 34_ N 1° 31_ 49_ W 		
Outer Left-Bank Faubourgs	Quarter	Barniol is held in estéem in the Saint-Jacques quarter	Fact	Barniol			PB 	XX	54, 56, 112	 				Les petits bourgeois	PB 	XX	54, 56, 112	 	Barniol	Saint-Jacques quarter	Saint-Jacques	47° 11_ 34_ N 1° 31_ 49_ W 		
Outer Left-Bank Faubourgs	Quarter	House where Cerizet conducts his business is characteristic of the Saint-Jacques quarter	Description				PB 	XX	128	 				Les petits bourgeois	PB 	XX	128	 		Saint-Jacques quarter	Saint-Jacques	47° 11_ 34_ N 1° 31_ 49_ W 		
Outer Left-Bank Faubourgs	Quarter	House where Cerizet conducts his business is characteristic of the Saint-Jacques quarter	Description				DE  	 XXXVIII  	179	 				Petit dictionnaire critique des enseignes de Paris  	DE  	 XXXVIII  	179	 		Saint-Jacques quarter	Saint-Jacques	47° 11_ 34_ N 1° 31_ 49_ W 		
Outer Left-Bank Faubourgs	Quarter	House where Cerizet conducts his business is characteristic of the Saint-Jacques quarter	Description				BBL 	XXXIX	54, 54, 55	 				Le Bois de Boulogne et le Luxembourg	BBL 	XXXIX	54, 54, 55	 		Saint-Jacques quarter	Saint-Jacques	48° 49_ 41_ N 2° 19_ 58_ E 		
Outer Left-Bank Faubourgs	Quarter	Description of the grisette	Description	Grisette		Grisette	G 	XXXIX 	277-279	 			Grisette	La grisette	G 	XXXIX 	277-279	 	Grisette	Saint-Jacques quarter	Saint-Jacques			
Outer Left-Bank Faubourgs	Quarter	Description of the grisette	Description	Grisette		Grisette	F 	XIII	84-86	 			Grisette	Ferragus	F 	XIII	84-86	 	Grisette	Saint-Jacques quarter	Saint-Jacques	48° 49_ 41_ N 2° 19_ 58_ E 		
