Place		Full Place Search	Yahoo LatLong	Google LatLong	Verified LatLong		Image URL						
Aboukir, rue d'	, Paris, France	Aboukir, rue d', Paris, France			48° 52_ 04_ N 2° 20_ 50_ E 	http://fr.wikipedia.org/wiki/Rue_d'Aboukir	http://commons.wikimedia.org/wiki/File:Paris_rue_d%27aboukir.jpg	 	4	 	 	 	4
Académie-Française 	, Paris, France	Académie-Française , Paris, France			48° 51_ 26_ N 2° 20_ 17_ E 	http://fr.wikipedia.org/wiki/Académie_française	http://commons.wikimedia.org/wiki/File:Académie_française_et_Pont_des_Arts_en_Hiver_vus_du_Quais.jpg	no 23 quai de Conti 	6	 	 	 	6
Académie des Inscriptions et des Belles-Lettres 	, Paris, France	Académie des Inscriptions et des Belles-Lettres , Paris, France	48.855312, 2.359869		48° 51_ 26_ N 2° 20_ 17_ E 	http://fr.wikipedia.org/wiki/Académie_des_inscriptions_et_belles-lettres	http://commons.wikimedia.org/wiki/File:Institut_de_France_1898.jpg	no 23 quai de Conti 	6	 	 	 	6
Academic de Medecine 	, Paris, France	Academic de Medecine , Paris, France			 48.8562602°N 2.3343334°E	http://en.wikipedia.org/wiki/Académie_Nationale_de_Médecine	http://en.wikipedia.org/wiki/File:MH_Paris_16_rue_Bonaparte.jpg	 	10	 	 	 	10
Académie Royale de Musique 	, Paris, France	Académie Royale de Musique , Paris, France	48.852615, 2.36235		48° 52_ 22_ N 2° 20_ 19_ E	dia.org/wiki/Académie_Royale_de_Musique	https://commons.wikimedia.org/wiki/File:Théâtre_de_l%27Académie_royale_de_musique_-_Grande_salle.jpg	 	9	 	 	 	9
Académie des Sciences	, Paris, France	Académie des Sciences, Paris, France			48° 51_ 26_ N 2° 20_ 17_ E 	https://fr.wikipedia.org/wiki/Académie_des_sciences_(France)	https://commons.wikimedia.org/wiki/File:Institut_France.jpg		6	 	 	 	6
Ministère des Affaires étrangères, des	, Paris, France	Ministère des Affaires étrangères, des, Paris, France	48.852615, 2.36235		48° 51_ 44_ N 2° 18_ 58_ E 	http://fr.wikipedia.org/wiki/Ministère_des_Affaires_étrangères_(France			8, 12	 	 	 	8, 12
Agence Havas 	, Paris, France	Agence Havas , Paris, France			48°51_53_N 2°20_37_E 	http://fr.wikipedia.org/wiki/Histoire_de_l%27Agence_d%27information_Havas		 	4	 	 	 	4
Alençon, Hôtel d'	, Paris, France	Alençon, Hôtel d', Paris, France			 			 	8	 	 	 	8
Alger, rue d'	, Paris, France	Alger, rue d', Paris, France			48° 51_ 56_ N 2° 19_ 48_ E 	http://fr.wikipedia.org/wiki/Rue_d'Alger_(Paris)	http://commons.wikimedia.org/wiki/File:P1020395_Paris_Ier_Rue_d%27Alger_rwk.JPG		8	 	 	 	8
Alma, place de l'	, Paris, France	Alma, place de l', Paris, France			48° 51_ 52_ N 2° 18_ 06_ E 	http://fr.wikipedia.org/wiki/Place_de_l'Alma	http://commons.wikimedia.org/wiki/File:P1030489_Paris_VIII_place_de_l%27Alma_rwk.JPG	 	8	 	 	 	8
Amandiers, rue des 	, Paris, France	Amandiers, rue des , Paris, France			48° 51_ 57_ N 2° 23_ 23_ E 	http://fr.wikipedia.org/wiki/Rue_des_Amandiers	http://commons.wikimedia.org/wiki/File:F_Fleury_CCCC_54_-_TOUT_PARIS_-_Rue_de_Ménilmontant_-_Clocher_de_l%27Eglise_Notre-Dame-de-la-Croix.jpg	 	6	 	Père-Lachaise	 	6
